biblioteca,departamento,nro_registro,domicilio,localidad,provincia,lat,long
Bib.Pop. D.F.Sarmiento,Federal,0382,Paraná 460 ,Federal,Entre Ríos,-30.956567,-58.7789
Conscripto Bernardi,Federal,4396,San Juan 162 ,Conscripto Bernardi,Entre Ríos,-31.046874,-59.084576
Bib.Pop. Luz de provincia,Gualeguay,3614,López Jordan 240 ,General Galarza,Entre Ríos,-32.718333,-59.391317
Bib.Pop. Carlos Mastronardi,Gualeguay,0342,25 de Mayo 414 ,Gualeguay,Entre Ríos,-33.149633,-59.3126
Bib.Pop. Manuel Belgrano,Gualeguaychu,4240,Larroque s/n  ,Pueblo General Belgrano,Entre Ríos,-33.010277,-58.514168
Bib.Pop. Rodolfo A. García,Gualeguaychu,2862,Corrientes 223 ,Gualeguaychú,Entre Ríos,-33.005583,-58.5234
Bib.Pop. Francisco H. López Jordan,Gualeguaychu,2266,25 de Mayo 1399 ,Gualeguaychú,Entre Ríos,-33.009917,-58.525783
Bib.Pop. Juan Bautista Alberdi,Gualeguaychu,1201,Islas Malvinas 133 ,Larroque,Entre Ríos,-33.034531,-59.007193
Bib.Pop. Sarmiento,Gualeguaychu,0341,San Martín 900 ,Gualeguaychú,Entre Ríos,-33.010167,-58.516917
Bib.Pop. Urdinarrain,Gualeguaychu,0375,Av.Libertad 353 (y A.del Valle  ,Urdinarrain,Entre Ríos,-32.68605,-58.889983
Bib.Pop. Olegario V. Andrade,Gualeguaychu,0340,Camila Nievas 78  ,Gualeguaychú,Entre Ríos,-33.009717,-58.50925
Bib. Pop. Sandor Mikler,Islas Del Ibicuy,3798,Av. Entre Ríos 286 ,Villa Paranacito,Entre Ríos,-33.7164,-58.65725
Bib.Pop. Santa Elena,La Paz,3401,Belgrano s/n (y Antolin J.Mauri  ,Santa Elena,Entre Ríos,-30.939733,-59.7894
Bib.Pop.Esc. Urquiza,La Paz,0370,Belgrano 457  Belgrano,Santa Elena,Entre Ríos,-30.946933,-59.795467
Bib.Pop. D.F.Sarmiento,La Paz,0330,Presidente Perón 37 ,Bovril,Entre Ríos,-31.343397,-59.44575
Bib.Pop.Genuina Leandro Alem,Nogoya,3608,Raúl Uranga y Laurencena  ,Aranguren,Entre Ríos,-32.244333,-60.16045
Bib.Pop. Gaspar Benavento,Nogoya,3441,Fray J.S.María de Oro 1150 ,Lucas Gonzalez,Entre Ríos,-32.3848,-59.52855
Bib.Pop. La vieja estación,Nogoya,3290,Gobernadores Entrerrianos 638 ,Hernández,Entre Ríos,-32.336117,-60.025067
Bib. Pop. Fermin Chavez,Nogoya,0354,Caseros 951 ,Nogoyá,Entre Ríos,-32.398567,-59.787567
Bib.Pop. Caminantes,Parana,4111,Gobernador Antelo 1345 ,Paraná,Entre Ríos,-31.762189,-60.493605
Bib.Pop. Sebastián Ger Villacampa,Parana,4350,3 de febrero 246 Centro,Hasenkamp,Entre Ríos,-31.51215,-59.834435
Bib.Pop. Presidente Avellaneda,Parana,4043,Mariano Moreno 2690 San Miguel,Colonia Avellaneda,Entre Ríos,-31.763683,-60.40985
Bib. Pop. San José de Cupertino,Parana,4054,Quirós 1627 San Sebastían,San Benito,Entre Ríos,-31.773467,-60.4332
Bib.Pop. Colibrí,Parana,4013,Santa Elena 1822 Padre Kolbe,Paraná,Entre Ríos,-31.745683,-60.5469
Bib.Pop. y Costurero Laura Vicuña,Parana,4000,El Patí  Los Arenales,Paraná,Entre Ríos,-31.74132,-60.511547
Federación de Bibliotecas de la Provincia de Entre,Parana,FE 08,Buenos Aires 256 ,Paraná,Entre Ríos,-31.728856,-60.530216
Bib.Pop. Los Aromos,Parana,3751,División de los Andes 1131 ,Paraná,Entre Ríos,-31.76005,-60.515817
Bib.Pop. Dr. Julio Vitor,Parana,3511,Sarmiento 367 ,Viale,Entre Ríos,-31.868417,-60.0109
Bib.Pop. Orientación,Parana,1615,Humberto A. Seri 1105 ,Crespo,Entre Ríos,-32.0333,-60.30645
Bib.Pop. Del Paraná,Parana,0355,Buenos Aires 256  ,Paraná,Entre Ríos,-31.728933,-60.530233
Bib. Pop. Teresita Yugdar,Parana,4297,Sargento Cabral 476 ,Seguí,Entre Ríos,-31.956,-60.126633
Bib.Pop Fermin Chavez,Parana,4401,Andres Pazos 35 ,parana,Entre Ríos,-31.731267004372686,-60.52887975337070
Bib. Pop. Luis Alberto Perez,Parana,4413,Bellavista S/N  ,Pueblo Brugo,Entre Ríos,-31.388496596236998,-60.09287650279811
Bib.Pop. Mario Domingo Carruego,Tala,0401,Gualeguaychu 433  ,Macia,Entre Ríos,-32.176008,-59.398034
Bib. Pop.Julian Monzon,Tala,0364,Roque Sáenz Peña 328 Centro,Rosario del Tala,Entre Ríos,-32.2999022,-59.1404477
Bib.Pop. Páginas Mías,Uruguay,4164,San Martín 753 ,Santa Anita,Entre Ríos,-32.173583,-58.78365
Bib. Pop. Julián Herrera,Uruguay,4146,Luis Signes 333 ,Herrera,Entre Ríos,-32.433567,-58.633317
Bib.Pop. Luz obrera,Uruguay,0886,Podesta 982 ,Basavilbaso,Entre Ríos,-32.3743,-58.8779
Bib.Pop. El porvenir,Uruguay,0303,San Martín 782 ,Concepción del Uruguay,Entre Ríos,-32.485567,-58.233367
Bib. Pop. San Justo,Uruguay,4359,Boulevard 1° de Mayo  Centro,San Justo,Entre Ríos,-32.445567,-58.436233
Bib. Pop. Estación Cultural,Uruguay,4388,Calle Pública  Ex Estación FFCC,Villa San Marcial,Entre Ríos,-32.176947154636785,-58.9244278448
Bib.Pop. Bartolomé Mitre,Villaguay,0383,San Martín 230 ,Villaguay,Entre Ríos,-31.867833,-59.02755
Bib.Pop. Primer Presidente Bernardino Rivadavia,Villaguay,0384,Moreno (Escuela Sup.Nº 1) 650 ,Villaguay,Entre Ríos,-31.864033,-59.029567
Bib.Pop. D.F.Sarmiento,Villaguay,0328,Rivadavia 1482 ,Villa Dominguez,Entre Ríos,-31.986183,-58.958967
Bib.Pop. Ser protagonistas,San Salvador,4078,8 de junio 268 ,General Campos,Entre Ríos,-31.525967,-58.402783
Bib. Pop. José Hernández,San Salvador,3917,Ramirez y Primera Junta  ,San Salvador,Entre Ríos,-31.623883,-58.50115
Bib.Pop. J. J. de Urquiza,,3943,Arturo Illia y 2 de Abril  ,Irazusta,Entre Ríos,-32.927833,-58.954483
Bib.Pop. La esperanza,Formosa,3842,Sin dirección  ,Mojón de Fierro,Formosa,-26.031681,-58.049503
Bib.Pop. San José de Cupertino,Formosa,3636,Manz.16-Parcelas 1.2.3  E.Perón,Formosa,Formosa,-26.185202,-58.175369
